timestamp,pavilion_name,wait_time_raw,post_time_raw
2025-08-01T23:19:25.562777+09:00,ロボット ＆モビリティ ステーション,情報なし,情報なし
2025-08-01T23:19:25.562781+09:00,国際機関協同館,情報なし,情報なし
2025-08-01T23:19:25.562786+09:00,国際赤十字 ・赤新月運動館,0時間30分,60分以上前
2025-08-01T23:19:25.562791+09:00,国連,情報なし,情報なし
2025-08-01T23:19:25.562795+09:00,中国,0時間20分,60分以上前
2025-08-01T23:19:25.562799+09:00,北欧館,0時間20分,60分以上前
2025-08-01T23:19:25.562803+09:00,万博博物館,情報なし,情報なし
2025-08-01T23:19:25.562807+09:00,アゼルバイジャン,0時間20分,60分以上前
2025-08-01T23:19:25.562811+09:00,インドネシア,0時間10分以下,60分以上前
2025-08-01T23:19:25.562815+09:00,インド,0時間10分以下,60分以上前
2025-08-01T23:19:25.562819+09:00,ウズベキスタン,0時間40分,60分以上前
2025-08-01T23:19:25.562823+09:00,エジプト,0時間40分,60分以上前
2025-08-01T23:19:25.562827+09:00,オーストラリア,0時間10分以下,60分以上前
2025-08-01T23:19:25.562831+09:00,コモンズ-B,情報なし,情報なし
2025-08-01T23:19:25.562835+09:00,コモンズ-F,0時間40分,60分以上前
2025-08-01T23:19:25.562839+09:00,サウジアラビア,0時間10分以下,60分以上前
2025-08-01T23:19:25.562843+09:00,スペイン,0時間10分以下,60分以上前
2025-08-01T23:19:25.562849+09:00,セネガル,情報なし,情報なし
2025-08-01T23:19:25.562853+09:00,セルビア,0時間30分,60分以上前
2025-08-01T23:19:25.562857+09:00,タイ,0時間15分,60分以上前
2025-08-01T23:19:25.562861+09:00,チャド,情報なし,情報なし
2025-08-01T23:19:25.562866+09:00,ドイツ,0時間30分,60分以上前
2025-08-01T23:19:25.562870+09:00,トルコ,0時間10分以下,60分以上前
2025-08-01T23:19:25.562874+09:00,ネパール,0時間10分以下,60分以上前
2025-08-01T23:19:25.562878+09:00,バングラデシュ,情報なし,情報なし
2025-08-01T23:19:25.562882+09:00,モナコ,0時間10分以下,60分以上前
2025-08-01T23:19:25.562886+09:00,夜の地球,情報なし,情報なし
